Kod	Nazwa
065S12/05 F/F green	Sklejka liściasta foliowana 6,5x1250x2500 F/F green
065S12/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara
065S12/05 F/F grey/black	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/czarna
065S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/ciemny brąz
065S12/05 F/F grey/yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/żółta
065S12/05 F/F l.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F jasny brąz
065S12/05 F/F opal white	Sklejka liściasta foliowana 6,5x1250x2500 F/F opal white
065S12/05 F/F yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta
065S12/05 F/F yell/d.br	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta/ciemny brąz
065S12/05 M/F	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa
065S12/05 M/M white	Sklejka liściasta foliowana 6,5x1250x2500 M/M
065S12/07 F/F	Sklejka liściasta foliowana 6,5x1500x2500 F/F
065S12/08 F/F	Sklejka liściasta foliowana 6,5x2500x1500 F/F
065S12/09 F/F	Sklejka liściasta foliowana 6,5x1525x2500 F/F
065S12/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F
065S12/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara
065S12/11 F/F grey / d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/ciemny brąz
065S12/11 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz
065S12/110 F/F grey	Sklejka liściasta foliowana 6,5x1850x1250 F/F grey
065S12/12	Sklejka liściasta foliowana 6,5x1500x3000 F/F ciemny brąz
065S12/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F
065S12/12 F/F 220	Sklejka liściasta foliowana 6,5x1500x3000 F/F 220g/m2
065S12/12 F/F black	Sklejka liściasta foliowana 6,5x1500x3000 F/F czarna
065S12/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara
065S12/12 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F grey/d.brown
065S12/12 F/F l.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz
065S12/12 M/M	Sklejka liściasta foliowana 6,5x1500x3000 M/M
065S12/23 F/F	Sklejka liściasta foliowana 6,5x1500x2700 F/F
065S12/27 F/F grey/d.br	Sklejka liściasta foliowana 6,5x2150x3850 F/F szara/ciemny brąz
065S12/57 F/F	Sklejka liściasta foliowana 6,5x2150x3340 F/F
